farmer_id,name,district_id,vegetables_grown,phone,whatsapp,email,land_acres,price,quantity
79,Vijay Reddy,2,Onion,9297654769,9499776653,farmer79@mail.com,19.93,32.19,773.0
80,Naresh Reddy,11,Tomato,9278007421,9766481385,farmer80@mail.com,16.77,16.42,492.0
81,Ajay Kumar,7,Brinjal,9435456290,9918552580,farmer81@mail.com,10.63,61.13,519.0
82,Arjun Kumar,8,Bottle Gourd,9655889500,9351519613,farmer82@mail.com,16.64,31.17,542.0
83,Naresh Rao,5,Tomato,9315652084,9561179615,farmer83@mail.com,1.19,25.2,769.0
84,Mahesh Reddy,6,Onion,9982935896,9275443933,farmer84@mail.com,10.31,32.89,848.0
85,Suresh Rao,8,Tomato,9517619552,9790711183,farmer85@mail.com,18.02,48.55,81.0
86,Mahesh Kumar,1,Brinjal,9577719405,9323867635,farmer86@mail.com,6.18,38.86,847.0
87,Arjun Reddy,10,Bottle Gourd,9484951618,9489734535,farmer87@mail.com,1.5,48.56,455.0
88,Arjun Kumar,8,Tomato,9254655487,9727387560,farmer88@mail.com,19.39,17.66,172.0
89,Vijay Naidu,4,Cabbage,9653642513,9934122836,farmer89@mail.com,19.87,25.16,199.0
90,Manoj Reddy,7,Onion,9357430774,9658804972,farmer90@mail.com,16.22,61.38,767.0
91,Manoj Rao,4,Onion,9574143986,9966974359,farmer91@mail.com,12.51,39.3,680.0
92,Arjun Rao,9,Green Chilli,9625684004,9836162803,farmer92@mail.com,6.05,46.67,51.0
93,Naresh Kumar,11,Brinjal,9766661612,9816376985,farmer93@mail.com,19.75,34.48,49.0
94,Manoj Naidu,4,Bottle Gourd,9750178489,9492583612,farmer94@mail.com,8.61,24.97,723.0
95,Mahesh Naidu,7,Tomato,9740706311,9909661592,farmer95@mail.com,15.78,46.05,197.0
96,Kiran Naidu,3,Tomato,9491256530,9901191428,farmer96@mail.com,15.38,47.88,309.0
97,Vijay Naidu,8,Spinach,9275011731,9578916423,farmer97@mail.com,16.1,20.69,424.0
98,Kiran Rao,4,Brinjal,9944799123,9178694930,farmer98@mail.com,2.38,20.9,417.0
99,Manoj Rao,2,Potato,9157304561,9759609296,farmer99@mail.com,19.33,61.62,375.0
100,Mahesh Reddy,3,Potato,9585737538,9205522082,farmer100@mail.com,13.9,64.94,191.0
101,Ajay Rao,10,Onion,9736716956,9462351941,farmer101@mail.com,13.44,43.78,560.0
102,Ajay Naidu,9,Okra,9879531016,9486769028,farmer102@mail.com,12.11,38.89,323.0
103,Arjun Naidu,10,Green Chilli,9493978231,9230463065,farmer103@mail.com,16.77,44.73,728.0
104,Suresh Kumar,7,Bottle Gourd,9861302047,9864993846,farmer104@mail.com,10.59,54.09,451.0
105,Mahesh Reddy,8,Tomato,9736270825,9510349873,farmer105@mail.com,16.9,24.19,346.0
106,Ajay Naidu,5,Okra,9819742903,9174581741,farmer106@mail.com,11.6,48.19,841.0
107,Ajay Reddy,4,Brinjal,9754630033,9779832401,farmer107@mail.com,18.08,62.45,976.0
108,Suresh Rao,7,Onion,9550354391,9538089721,farmer108@mail.com,5.91,16.16,763.0
109,Ajay Naidu,11,Tomato,9779723605,9505614390,farmer109@mail.com,9.73,61.16,89.0
110,Manoj Rao,2,Brinjal,9464711846,9647519797,farmer110@mail.com,19.88,18.42,811.0
111,Suresh Reddy,2,Green Chilli,9889412562,9111888143,farmer111@mail.com,8.02,20.65,860.0
112,Mahesh Kumar,5,Green Chilli,9560612421,9777183901,farmer112@mail.com,10.85,16.46,674.0
113,Ramesh Kumar,6,Green Chilli,9785178318,9535620540,farmer113@mail.com,11.53,40.05,826.0
114,Ajay Reddy,3,Potato,9338955983,9626099396,farmer114@mail.com,8.06,31.82,679.0
115,Manoj Reddy,5,Cabbage,9739049057,9180738408,farmer115@mail.com,1.31,35.62,330.0
116,Ravi Kumar,4,Bottle Gourd,9303948252,9165143834,farmer116@mail.com,17.95,35.52,876.0
117,Suresh Kumar,12,Green Chilli,9237972855,9406202390,farmer117@mail.com,10.02,37.94,233.0
118,Naresh Rao,7,Cabbage,9867253365,9383680300,farmer118@mail.com,14.53,16.42,875.0
119,Kiran Reddy,1,Potato,9131408171,9780651819,farmer119@mail.com,10.63,47.62,188.0
120,Ravi Rao,7,Onion,9367038596,9335759269,farmer120@mail.com,3.23,44.63,854.0
121,Ravi Reddy,2,Tomato,9188671499,9970476498,farmer121@mail.com,3.09,18.73,27.0
122,Ajay Reddy,1,Bottle Gourd,9812730046,9499620388,farmer122@mail.com,17.32,19.96,133.0
123,Ramesh Reddy,9,Onion,9643462984,9848453960,farmer123@mail.com,10.22,15.7,974.0
124,Ajay Naidu,11,Tomato,9115257109,9124252844,farmer124@mail.com,2.17,61.82,24.0
125,Ravi Reddy,12,Green Chilli,9708460603,9795127119,farmer125@mail.com,14.05,62.49,211.0
126,Manoj Reddy,7,Cauliflower,9441612729,9956776900,farmer126@mail.com,17.83,50.32,703.0
127,Arjun Reddy,7,Green Chilli,9982200939,9616215820,farmer127@mail.com,3.15,38.37,464.0
128,Suresh Rao,11,Bottle Gourd,9942226484,9753988403,farmer128@mail.com,18.9,38.95,523.0
129,Ramesh Kumar,8,Tomato,9619238942,9341603270,farmer129@mail.com,19.35,42.2,754.0
130,Manoj Reddy,2,Cabbage,9637329921,9126068446,farmer130@mail.com,4.36,29.17,73.0
131,Ramesh Rao,4,Green Chilli,9793113194,9432817667,farmer131@mail.com,16.94,50.47,828.0
132,Mahesh Rao,5,Brinjal,9973790518,9438018075,farmer132@mail.com,6.68,52.45,520.0
133,Naresh Naidu,11,Cabbage,9838470796,9695024824,farmer133@mail.com,19.28,34.12,911.0
134,Naresh Reddy,9,Bottle Gourd,9711457141,9137306658,farmer134@mail.com,6.65,30.68,57.0
135,Suresh Reddy,2,Bottle Gourd,9579946188,9307378709,farmer135@mail.com,4.38,30.8,657.0
136,Naresh Kumar,7,Potato,9713303119,9842093433,farmer136@mail.com,2.67,64.44,26.0
137,Ajay Kumar,4,Tomato,9508035954,9937751803,farmer137@mail.com,11.23,34.87,106.0
138,Kiran Naidu,1,Brinjal,9893876935,9256373407,farmer138@mail.com,11.55,18.1,72.0
139,Kiran Kumar,6,Spinach,9672941370,9732201733,farmer139@mail.com,18.17,45.51,373.0
140,Arjun Naidu,6,Green Chilli,9731424574,9413329642,farmer140@mail.com,16.39,61.93,195.0
141,Ramesh Naidu,9,Cauliflower,9377955068,9661900157,farmer141@mail.com,5.29,51.06,66.0
142,Naresh Kumar,6,Bottle Gourd,9460732100,9356993531,farmer142@mail.com,8.78,32.98,321.0
143,Naresh Kumar,11,Spinach,9469405396,9130034363,farmer143@mail.com,18.14,26.59,737.0
144,Manoj Rao,12,Potato,9921653555,9292396985,farmer144@mail.com,1.24,50.77,419.0
145,Vijay Reddy,2,Okra,9381142919,9197867069,farmer145@mail.com,7.85,24.14,348.0
146,Ajay Naidu,7,Okra,9496479896,9565206512,farmer146@mail.com,11.49,34.08,634.0
147,Mahesh Rao,7,Okra,9698615078,9634498809,farmer147@mail.com,3.13,30.21,602.0
148,Ajay Kumar,10,Spinach,9710401050,9211523925,farmer148@mail.com,12.24,62.2,335.0
149,Naresh Naidu,11,Spinach,9287923213,9360437013,farmer149@mail.com,7.19,59.58,796.0
150,Ramesh Naidu,3,Spinach,9743269022,9679172858,farmer150@mail.com,17.7,48.06,357.0
151,Suresh Rao,6,Onion,9159046243,9607339667,farmer151@mail.com,13.11,43.75,187.0
152,Manoj Reddy,12,Potato,9546731871,9827056805,farmer152@mail.com,14.87,52.27,251.0
153,Ajay Rao,9,Spinach,9924829916,9144141818,farmer153@mail.com,17.73,42.0,688.0
154,Ramesh Rao,5,Cauliflower,9574888588,9122634571,farmer154@mail.com,7.58,43.98,410.0
155,Ramesh Rao,11,Cabbage,9673764302,9374299153,farmer155@mail.com,19.93,62.53,59.0
156,Manoj Naidu,2,Bottle Gourd,9458184538,9852039224,farmer156@mail.com,1.23,48.56,550.0
157,Vijay Rao,1,Bottle Gourd,9903347747,9766618095,farmer157@mail.com,8.02,40.01,251.0
158,Ramesh Rao,10,Spinach,9365169982,9472089301,farmer158@mail.com,11.88,42.28,688.0
159,Ravi Naidu,5,Potato,9120212210,9476937897,farmer159@mail.com,18.22,17.68,925.0
160,Ramesh Rao,12,Potato,9416437939,9715592842,farmer160@mail.com,7.43,22.89,166.0
161,Arjun Rao,8,Bottle Gourd,9704168335,9576811109,farmer161@mail.com,15.69,24.24,776.0
162,Mahesh Rao,1,Cabbage,9412103802,9996245943,farmer162@mail.com,17.55,51.11,67.0
163,Ramesh Rao,10,Okra,9342633919,9802606858,farmer163@mail.com,7.09,22.31,67.0
164,Manoj Kumar,12,Cabbage,9381234732,9637565935,farmer164@mail.com,2.18,55.37,458.0
165,Ramesh Naidu,10,Bottle Gourd,9461961901,9245081555,farmer165@mail.com,11.15,39.16,453.0
166,Kiran Reddy,12,Okra,9945803730,9241078975,farmer166@mail.com,3.4,30.42,382.0
167,Manoj Kumar,5,Green Chilli,9560880582,9119774059,farmer167@mail.com,9.21,15.17,846.0
168,Mahesh Kumar,10,Cabbage,9239779790,9915974285,farmer168@mail.com,12.79,17.25,663.0
169,Manoj Naidu,2,Cauliflower,9565793863,9368974082,farmer169@mail.com,13.88,32.84,261.0
170,Naresh Naidu,3,Green Chilli,9212555781,9696666978,farmer170@mail.com,8.41,37.57,933.0
171,Mahesh Kumar,9,Cabbage,9109322674,9457902825,farmer171@mail.com,6.84,29.88,683.0
172,Arjun Kumar,11,Tomato,9993273125,9405902695,farmer172@mail.com,7.7,16.22,429.0
173,Suresh Reddy,2,Tomato,9295633281,9761570733,farmer173@mail.com,9.58,56.51,960.0
174,Arjun Reddy,9,Green Chilli,9836688957,9331050327,farmer174@mail.com,2.09,19.74,290.0
175,Ravi Rao,5,Brinjal,9578979877,9829991987,farmer175@mail.com,15.72,48.97,435.0
176,Ravi Naidu,5,Okra,9858367885,9908894553,farmer176@mail.com,11.05,61.45,775.0
177,Arjun Naidu,5,Tomato,9727936269,9630162240,farmer177@mail.com,15.65,47.88,186.0
178,Manoj Naidu,2,Potato,9510909734,9107555423,farmer178@mail.com,13.47,23.46,244.0
179,Suresh Naidu,4,Potato,9306342267,9147654926,farmer179@mail.com,5.56,40.24,945.0
180,Ajay Kumar,12,Green Chilli,9336984576,9868414102,farmer180@mail.com,5.57,44.44,902.0
181,Vijay Rao,6,Okra,9379552940,9908778061,farmer181@mail.com,19.97,64.31,34.0
182,Ajay Naidu,10,Green Chilli,9616926550,9258778021,farmer182@mail.com,17.25,54.54,44.0
183,Ravi Rao,10,Spinach,9169360961,9515840166,farmer183@mail.com,14.4,57.02,567.0
184,Suresh Reddy,1,Green Chilli,9114836561,9517579644,farmer184@mail.com,5.51,39.62,720.0
185,Arjun Rao,1,Cauliflower,9132503971,9955266620,farmer185@mail.com,18.61,33.12,846.0
186,Ramesh Naidu,6,Tomato,9715157812,9530221620,farmer186@mail.com,15.45,48.58,912.0
187,Ravi Naidu,2,Tomato,9706830695,9404578347,farmer187@mail.com,17.31,61.7,273.0
188,Arjun Reddy,5,Green Chilli,9699959493,9600023375,farmer188@mail.com,4.69,33.28,628.0
189,Ramesh Rao,9,Bottle Gourd,9270963250,9315257420,farmer189@mail.com,11.39,15.34,941.0
190,Kiran Rao,6,Spinach,9581183174,9303998332,farmer190@mail.com,6.97,56.77,854.0
191,Ramesh Reddy,3,Spinach,9115477273,9281986909,farmer191@mail.com,2.54,20.35,810.0
192,Manoj Rao,8,Green Chilli,9928835532,9967677879,farmer192@mail.com,11.57,48.75,222.0
193,Suresh Kumar,12,Okra,9296118392,9489558826,farmer193@mail.com,7.45,25.67,574.0
194,Suresh Naidu,2,Tomato,9916023817,9207078530,farmer194@mail.com,4.79,33.08,52.0
195,Suresh Rao,9,Spinach,9418998696,9187360266,farmer195@mail.com,14.64,63.46,972.0
196,Ravi Naidu,10,Okra,9819499882,9966304277,farmer196@mail.com,12.14,16.61,427.0
197,Kiran Reddy,6,Brinjal,9253321462,9540005460,farmer197@mail.com,1.53,43.45,699.0
198,Ramesh Kumar,3,Bottle Gourd,9799506950,9578335299,farmer198@mail.com,2.61,22.24,966.0
199,Suresh Kumar,6,Okra,9119563029,9325632417,farmer199@mail.com,5.76,24.34,622.0
200,Naresh Naidu,5,Tomato,9809258923,9504487782,farmer200@mail.com,17.43,52.31,626.0
